link,title,item_no,image_list,description,compatibility_list,variants
https://eurolub.com/en/lagerfit-litho-plex-ep-2-p4376/,Lagerfit Litho-Plex EP 2,714XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/732237_714xxx.png'],['<p>Lithium complex soap-thickened grease for lubricating friction and anti-friction bearings that operate under high pressure. Operating temperature: -30°C up to +150°C. Colour: blue.</p>'],"['<li>MB 265.1</li>', '<li>MAN 284 Li-H2</li>']","[{'sku': '714400', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/81618_714400.png', 'name': '400 g'}]"
https://eurolub.com/en/seilfett-tw-p4392/,Wire Rope Grease TW,720XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/581418_720xxx.png'],['<p>Highly adhesive lubricant and anti-corrosive for wire ropes and use as automobile cavity protection and underbody coating.</p>'],[],"[{'sku': '720001', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/925161_720001.png', 'name': '1 L'}, {'sku': '720005', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/219529_720005.png', 'name': '5 L'}, {'sku': '720600', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/835583_720600.png', 'name': '600 ml'}]"
https://eurolub.com/en/drahtseil-fluid-p4379/,Wire Rope Fluid,718XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/822658_718xxx.png'],[],[],"[{'sku': '718001', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/305146_718001.png', 'name': '1 L'}, {'sku': '718600', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/582904_718600.png', 'name': '600 ml'}]"
https://eurolub.com/en/saegekettenmedium-p4297/,Saw Chain Medium,538XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/916336_538xxx.png'],['<p>Chain Saw Medium offers unrivaled adhesive properties alongside exceptional temperature characteristics and good lubricating properties. Chain Saw Medium is a highly developed product suitable for use in chain saws of all makes.</p>'],[],"[{'sku': '538005', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/216093_538005.png', 'name': '5 L'}, {'sku': '538020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/614648_538020.png', 'name': '20 L'}, {'sku': '538060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/114164_538060.png', 'name': '60 L'}, {'sku': '538208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/482710_538208.png', 'name': '208 L'}, {'sku': '538100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/528125_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/nirostol-1-spruehoel-hell-p4307/,Nirostol 1 Spray Oil Light,541XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/15129_541xxx.png'],['<p>Nirostol 1 is a low-viscosity anti-corrosion oil. It is used to preserve workpieces of all kinds during extended storage.</p>'],[],"[{'sku': '541020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/907788_541020.png', 'name': '20 L'}, {'sku': '541060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/243119_541060.png', 'name': '60 L'}, {'sku': '541208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/250821_541208.png', 'name': '208 L'}]"
https://eurolub.com/en/bio-kettenoel-uws-p4303/,Bio Chain Oil UWS,539XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/125591_539xxx.png'],"['<p>Chain saw oil based on rapeseed oil. For chain saws used in professional applications. Exceptional lubricating properties, good aging resistance.</p>']",[],"[{'sku': '539005', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/528283_539005.png', 'name': '5 L'}, {'sku': '539020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/424714_539020.png', 'name': '20 L'}, {'sku': '539060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/635394_539060.png', 'name': '60 L'}, {'sku': '539208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/829697_539208.png', 'name': '208 L'}, {'sku': '539100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/987600_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/w4-p4349/,W4,680XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/806286_680xxx.png'],['<p>This concentrate is a water-soluble coolant that contains mineral oil.</p>'],[],"[{'sku': '680005', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/416438_680005.png', 'name': '5 L'}, {'sku': '680020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/886987_680020.png', 'name': '20 L'}, {'sku': '680060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/780794_680060.png', 'name': '60 L'}, {'sku': '680208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/641371_680208.png', 'name': '208 L'}, {'sku': '680100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/851070_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/hees-46-p4242/,HEES 46,508XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/106203_508xxx.png'],['<p>Hydraulic oil based on premium quality synthetic ester.</p>'],"['<li>VDMA 24568</li>', '<li>HEES</li>']","[{'sku': '508020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/820166_508020.png', 'name': '20 L'}, {'sku': '508060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/822888_508060.png', 'name': '60 L'}, {'sku': '508208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/36684_508208.png', 'name': '208 L'}, {'sku': '508100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/786889_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/clpc2a0iso-vgc2a0220-p4194/,CLP ISO-VG 220,415XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/200477_415xxx.png'],"['<p>Developed for lubricating heavy-duty industrial gears, improved by EP additives and corrosion inhibitors.</p>']","['<li>AIST 224</li>', '<li>AGMA 9005 E02 (EP)</li>']","[{'sku': '415020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/212696_415020.png', 'name': '20 L'}, {'sku': '415060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/373302_415060.png', 'name': '60 L'}, {'sku': '415208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/28051_415208.png', 'name': '208 L'}, {'sku': '415100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/653119_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/gatteroel-haftoel-spezial-iso-vg-150-p4035/,Saw Guide Oil – Special ISO VG 150,351XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/337511_351xxx.png'],['<p>A highly stringy and adhesive lubricating oil which forms stable and pressure-resistant lubricating films. Vertical guides and sliding surfaces can be lubricated properly as the lubricating film will not tear off.</p>'],[],"[{'sku': '351020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/939493_351020.png', 'name': '20 L'}, {'sku': '351060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/914793_351060.png', 'name': '60 L'}, {'sku': '351208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/521359_351208.png', 'name': '208 L'}, {'sku': '351100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/206311_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/gleit-und-bettbahnoel-cglp-iso-vg-68-p4030/,Slide and Bedway Oil CGLP ISO VG 68,350XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/846952_350xxx.png'],['<p>CGLP sets itself apart by its good lubricating and sliding properties as well as its exceptional adhesive power.</p>'],[],"[{'sku': '350020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/207536_350020.png', 'name': '20 L'}, {'sku': '350060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/579148_350060.png', 'name': '60 L'}, {'sku': '350208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/617166_350208.png', 'name': '208 L'}, {'sku': '350100', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/241689_211100.png', 'name': '1000 L'}]"
https://eurolub.com/en/clp-iso-vg-320-p4198/,CLP ISO-VG 320,416XXX,['https://eurolub.com/userdata/dcshop/images/thumb_3/900291_416xxx.png'],"['<p>Developed for lubricating heavy-duty industrial gears, improved by EP additives and corrosion inhibitors.</p>']","['<li>AIST 224</li>', '<li>AGMA 9005 E02 (EP)</li>']","[{'sku': '416020', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/409098_416020.png', 'name': '20 L'}, {'sku': '416060', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/160522_416060.png', 'name': '60 L'}, {'sku': '416208', 'image': 'https://eurolub.com/userdata/dcshop/images/thumb_2/590135_416208.png', 'name': '208 L'}]"
